开放性,尽责性,外倾性,宜人性,神经质
3.833,4.167,4.0,3.0,3.333
3.5,3.583,2.75,3.167,2.083
3.583,3.0,2.917,3.25,3.0
4.083,2.917,1.417,3.167,3.833
4.5,4.167,4.0,3.917,2.417
4.0,2.667,2.583,1.75,3.0
4.25,3.583,4.0,3.917,2.833
3.417,3.833,2.5,3.0,2.417
4.167,4.75,4.25,2.417,2.0
3.25,4.667,3.75,3.833,2.417
3.917,3.75,2.917,3.583,2.0
4.167,2.833,3.667,3.75,3.667
3.75,2.333,2.583,2.583,3.917
4.0,4.417,4.5,3.167,2.667
3.917,3.667,3.583,2.833,4.417
3.75,3.333,2.833,3.75,2.583
4.0,3.833,3.0,3.917,2.333
3.917,3.417,3.333,3.667,3.083
3.25,3.083,1.917,2.75,4.333
4.167,3.0,3.833,2.75,3.667
4.167,4.167,3.583,2.583,3.583
4.167,3.667,3.167,4.167,2.833
4.417,4.0,3.583,3.833,3.333
4.5,2.333,2.5,3.667,3.75
4.0,3.083,2.833,2.667,3.083
3.333,2.167,2.417,2.833,3.917
3.583,3.833,3.25,4.0,2.333
4.75,3.667,2.417,3.333,4.083
4.167,2.833,4.333,3.5,2.667
