Sex,Age,AI,Experience,Counts,我会为了购买他/她喜欢的东西，不惜花费超出我经济承受范围的钱。,我为了和他/她约会，不惜花费超出我经济承受范围的钱。,我会为了陪伴他/她，而经常推掉推迟或取消自己的其他计划。,分手后，我依然会找各种机会与他/她进行沟通和交流情感问题。,我会在他/她的工作学习中提出自己的解决方案，即使他/她表示不需要建议。,我会在他/她，本题请选择非常认同。,我会在他/她遇到小问题时立刻介入，即使这些问题他/她可以轻松解决。,分手后，我尝试通过各种方式与他/她保持日常的联系，即使他/她已经明确表示希望保持距离。,我会在他/她处理与朋友或家人的关系时插手，试图用自己的方式解决问题。,分手后，我会尝试购买他/她喜欢但超出我经济能力的礼物来挽回这段感情。,我会为了有时间陪伴他/她，而压缩自己十分重视的爱好和兴趣的时间。,我会在他/她进行个人财务管理时提供帮助，即使他/她表示不需要帮助。,分手后，我会为了试图挽回他/她，通过共同的朋友或社交圈对他/她施加影响。,分手后，我会经常在社交媒体通过各种方式表达对他/她的依恋。,如果我尽力去做的话，我总是能够解决问题的。,即使别人反对我，我仍有办法取得我所要的。,对我来说，坚持理想和达成目标是轻而易举的。,以我的才智，我定能应付意料之外的情况。,如果我付出必要的努力，我一定能解决大多数的难题。,我自信能有效地应付任何突如其来的事情。,我能冷静地面对困难，因为我可信赖自己处理问题的能力。,面对一个难题时，我通常能找到几个解决方法。,无论什么事在我身上发生，我都能够应付自如。,有麻烦的时候，我通常能想到一些应付的方法。,我害怕其他人比我有更多精彩的经历、收获。,我害怕我的朋友比我有更多精彩的经历、收获。,当我发现我的朋友玩得很开心的时候没有我，我会感到烦恼。,当我不知道我的朋友在忙什么时，我会感到焦虑。,当我错过了和朋友见面的机会时，我会感到烦恼。,当我玩得开心时，在线与大家分享发生的事对我来说很重要(比如，更新状态)。,当我错过一个已经计划好的聚会时，我会感到烦恼。,当我外出旅行时，我仍密切关注朋友的最新动向。
2,"	20",0,1,A.0(现在是初恋）,1,1,1,1,2,7,1,1,1,1,1,1,1,2,2,1,1,4,2,2,3,3,3,3,4,4,4,4,4,4,4,1
2,"	20",0,0,,2,2,4,3,2,7,2,2,3,1,3,3,2,1,4,4,3,3,4,3,2,3,2,4,3,3,3,4,3,4,4,4
1,"	22",0,2,B.1,1,1,2,4,3,7,3,5,6,3,3,1,5,1,5,4,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,4
2,"	20",0,1,B.1,5,7,5,1,2,7,5,1,1,1,6,2,1,2,5,5,4,4,5,4,5,5,4,5,2,2,1,1,2,1,2,1
1,"	20",0,0,,2,2,2,1,3,7,5,3,2,1,5,3,1,1,4,4,3,3,5,2,3,3,2,4,3,3,3,4,5,2,5,4
2,"	21",0,2,E.>3,5,6,6,7,2,7,3,2,1,6,3,1,1,5,4,5,4,1,2,1,1,4,2,2,4,4,5,1,1,1,5,1
2,"	21",0,0,,1,1,5,1,7,7,3,1,1,1,4,1,1,3,5,4,4,5,5,5,5,4,4,4,2,3,4,2,2,2,3,2
1,18 ,1,0,,6,1,4,6,1,7,1,1,1,1,6,2,1,1,4,4,5,4,5,5,5,5,5,5,3,3,4,4,4,5,4,3
2,"	18",0,1,B.1,7,6,2,1,6,7,6,1,2,1,2,3,1,1,4,4,3,3,4,3,4,1,3,4,1,1,2,1,1,1,1,2
2,"	18",0,1,B.1,7,6,6,2,6,7,6,1,2,1,1,3,1,1,4,4,3,3,4,3,4,1,3,3,1,1,2,1,1,1,1,2
1,"	20",0,0,,3,3,5,4,4,7,5,2,2,2,6,2,3,1,4,4,2,3,5,3,5,4,3,4,1,1,2,2,4,4,3,4
1,17 ,1,2,C.2,1,1,3,5,1,7,2,4,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,2,2,2,3,3,4,3,4
2,"	20",0,2,B.1,7,7,7,3,1,7,1,3,1,7,7,1,1,3,5,5,3,4,5,5,5,5,5,5,1,1,4,4,5,5,5,5
1,30 ,1,0,,4,3,5,2,4,7,4,1,3,1,4,5,1,1,4,2,5,3,4,3,4,4,5,5,4,2,4,4,5,5,5,5
2,"	20",0,2,B.1,2,2,5,5,3,7,6,4,1,3,6,4,5,6,3,2,2,2,4,2,2,3,2,4,3,2,3,4,4,4,2,2
2,"	20",0,1,A.0(现在是初恋）,5,5,7,1,2,7,2,1,1,1,7,2,1,1,5,4,3,4,4,4,5,5,2,5,2,1,2,1,5,1,1,1
1,23 ,1,0,,6,5,7,5,3,7,5,3,4,4,7,5,5,3,4,3,2,4,4,3,4,2,3,4,3,2,1,2,3,4,1,4
2,"	19",0,2,B.1,3,3,5,1,5,7,5,1,1,1,6,1,1,1,5,5,4,4,4,4,4,4,4,4,1,1,1,1,4,1,5,1
1,"	19",0,1,B.1,6,6,7,1,6,7,4,1,1,1,2,1,1,1,5,4,3,3,1,2,3,3,5,5,1,1,1,1,5,5,5,2
2,"	20",0,2,C.2,4,3,5,1,2,7,4,1,2,1,3,1,2,1,3,4,4,5,5,5,5,5,4,5,4,4,2,1,3,3,4,3
2,"	23",0,2,B.1,5,4,4,1,4,7,4,1,4,1,3,3,1,1,3,3,2,3,2,2,3,3,3,3,2,2,3,2,2,4,3,4
2,"	20",0,0,,4,2,4,1,1,7,1,1,1,1,4,1,1,1,4,4,4,3,4,3,4,4,2,4,4,3,3,4,3,2,2,2
2,"	20",0,0,,2,2,4,1,1,7,2,1,1,1,2,1,1,1,4,4,3,3,4,3,3,4,3,4,4,4,2,3,1,1,4,2
2,"	20",0,0,,2,2,4,1,2,7,2,1,1,1,2,1,3,1,4,4,4,4,5,5,5,4,4,4,3,1,4,2,3,5,3,1
2,"	23",0,1,A.0(现在是初恋）,2,2,4,1,4,7,2,1,4,1,4,1,1,1,5,4,3,4,4,4,4,4,4,4,4,4,1,1,4,5,5,4
1,17 ,1,2,C.2,7,7,7,6,7,7,7,5,6,3,7,7,7,4,5,5,5,5,5,5,5,5,5,5,1,2,4,4,3,5,4,5
1,"	19",0,1,D.3,2,4,5,5,6,7,5,6,6,2,6,2,6,6,4,4,3,3,4,3,3,3,3,3,4,4,4,4,4,3,4,3
2,"	27",0,2,E.>3,4,4,4,2,2,7,1,2,2,1,2,2,2,1,2,2,3,2,4,3,4,4,4,4,1,1,3,3,3,3,1,4
2,"	20",0,2,C.2,3,3,5,1,5,7,5,1,4,1,3,3,1,1,4,4,3,3,4,3,4,3,3,4,3,3,4,4,4,4,4,4
2,"	22",0,1,C.2,5,4,4,5,5,7,3,5,3,6,5,3,4,6,4,4,4,3,5,4,4,4,3,4,5,4,5,4,4,4,4,2
2,"	20",0,2,C.2,3,3,3,5,5,7,5,6,4,1,4,4,6,6,2,4,3,2,2,2,2,4,2,4,4,4,4,4,2,4,3,4
2,"	20",0,0,,5,4,5,2,2,7,7,1,3,1,5,6,1,1,4,3,3,3,4,2,2,3,2,3,3,1,1,3,4,4,4,1
2,"	20",0,0,,4,4,5,1,2,7,5,1,1,1,6,1,1,1,4,3,1,3,3,3,3,3,3,4,4,4,2,2,2,4,3,1
2,"	20",0,2,B.1,3,2,3,1,3,7,3,1,1,1,3,3,1,1,3,3,2,3,2,3,3,3,4,4,2,2,2,2,4,4,4,3
2,"	20",0,0,,5,4,5,2,6,7,3,1,1,1,3,4,1,1,4,3,2,2,4,3,4,3,2,4,1,2,1,3,4,3,1,3
